lng,lat,status
GD1-0-06,118.7675646433141,37.849714332191134,1
GD1-0-11,118.76126550593824,37.85713261924661,1
GD1-0-13,118.75904602222674,37.86031426088532,1
GD1-0-15,118.75671089108187,37.86341876301225,1
GD1-0-17,118.75437417901952,37.86646468786316,1
GD1-0-172,118.75327355055296,37.867012585711585,0
GD1-0-19,118.75222714213906,37.86985006423343,1
GD1-0-191,118.75197583725559,37.869795250188446,1
GD1-0-20,118.75142819550655,37.87162310657905,1
GD1-0-206,118.76771723965362,37.84944403935102,1
GD1-0-22,118.75196889486571,37.87334017650728,1
GD1-0-311,118.76000556093143,37.858617589681245,1
GD1-0-315,118.75457565482847,37.864419018711295,1
GD1-0-319,118.7538959186218,37.86929821558792,1
GD1-0-321,118.75060260780708,37.87035168492385,1
GD1-0-4,118.76928092797866,37.846420732819446,1
GD1-0-413,118.76122571214778,37.860234374061825,1
GD1-0-417,118.75535558873636,37.86568208600854,1
GD1-0-5,118.7675587301765,37.84756365167265,1
GD1-0-503,118.77271885604752,37.84387142043976,1
GD1-0-504,118.77109805130678,37.84449938149164,1
GD1-0-506,118.76664785269914,37.84747823119675,1
GD1-0-511,118.76221165968552,37.854877606160954,1
GD1-0-6,118.76677545757028,37.84901676276954,1
GD1-0-616,118.75566953413293,37.86550399112871,1
GD1-0-617,118.75398523717223,37.866355626522875,1
GD1-0-7,118.7655837373896,37.850494012076155,1
GD1-0-719,118.75376931562744,37.86970998628805,0
GD1-0-8,118.76504600778215,37.85271815597126,1
GD1-0-813,118.75993267499548,37.86033028528176,1
GD1-0-815,118.75826713077213,37.862920331579204,1
GD1-0-9,118.76175969828147,37.85307367109884,1
GD1-0C15,118.7564615829227,37.8634472566854,1
GD1-0C22,118.75196889486571,37.87334017650728,1
GD1-0C4,118.76912118755337,37.84639160379649,1
GD1-0C8,118.76504536350284,37.8526911402657,1
GD1-0N13,118.75929456924739,37.86025424362886,1
GD1-0N15,118.75709944669471,37.86351205647868,1
GD1-0N19,118.75203322225452,37.870298869034116,1
GD1-0N319,118.75520959843223,37.8691074727641,1
GD1-0N4,118.77006660491041,37.84602155878857,1
GD1-0N511,118.76223362430196,37.85484574775991,1
GD1-0N7,118.76569193562047,37.85026717784781,0
GD1-0N8,118.76484581884515,37.85289907433401,0
GD1-0X05,118.76958673614313,37.847807943200365,0
GD1-0X061,118.76965487477467,37.84780691895552,1
GD1-0X09,118.76117383508962,37.85519041660911,1
GD1-0X21,118.75150745463877,37.87113096687635,1
GD1-0X23,118.74888073913115,37.87154387597243,1
GD1-0X3,118.77371263161677,37.84348305182505,0
GD1-0X322,118.74975459938004,37.87389560540373,1
GD1-0X323,118.7501423502525,37.87395289944028,1
GD1-0X41,118.76903496448136,37.84658658133737,1
GD1-0X615,118.75622083028955,37.862878812288,1
GD1-0X618,118.75307052033968,37.86707641677597,1
GD1-0X619,118.75113709758017,37.86796775577274,1
