lng,lat,status
118.7675646,37.84971433,0
118.7612655,37.85713262,0
118.759046,37.86031426,0
118.7567109,37.86341876,0
118.7543742,37.86646469,0
118.7532736,37.86701259,0
118.7522271,37.86985006,0
118.7519758,37.86979525,0
118.7514282,37.87162311,0
118.7677172,37.84944404,0
118.7519689,37.87334018,0
118.7600056,37.85861759,0
118.7545757,37.86441902,0
118.7538959,37.86929822,0
118.7506026,37.87035168,0
118.7692809,37.84642073,0
118.7612257,37.86023437,0
118.7553556,37.86568209,0
118.7675587,37.84756365,0
118.7727189,37.84387142,0
118.7710981,37.84449938,0
118.7666479,37.84747823,0
118.7622117,37.85487761,0
118.7667755,37.84901676,0
118.7556695,37.86550399,0
118.7539852,37.86635563,0
118.7655837,37.85049401,0
118.7537693,37.86970999,0
118.765046,37.85271816,0
118.7599327,37.86033029,0
118.7582671,37.86292033,0
118.7617597,37.85307367,0
118.7564616,37.86344726,0
118.7519689,37.87334018,0
118.7691212,37.8463916,0
118.7650454,37.85269114,0
118.7592946,37.86025424,0
118.7570994,37.86351206,0
118.7520332,37.87029887,0
118.7552096,37.86910747,0
118.7700666,37.84602156,0
118.7622336,37.85484575,0
118.7656919,37.85026718,0
118.7648458,37.85289907,0
118.7695867,37.84780794,0
118.7696549,37.84780692,0
118.7611738,37.85519042,0
118.7515075,37.87113097,0
118.7488807,37.87154388,0
118.7737126,37.84348305,0
118.7497546,37.87389561,0
118.7501424,37.8739529,0
118.769035,37.84658658,0
118.7562208,37.86287881,0
118.7530705,37.86707642,0
118.7511371,37.86796776,0
118.7564359,37.87289525,0
118.7507413,37.87429082,0
118.7519436,37.87323245,0
118.7487688,37.87161761,0
118.7550433,37.86592997,0
118.7607397,37.85509106,0
118.7664588,37.84717478,0
118.7571471,37.85849219,0
118.7817708,37.86219756,0
118.7649137,37.85479208,0
118.7795068,37.86538701,0
118.7777217,37.86865251,0
118.7749757,37.87166222,0
118.7727531,37.87470453,0
118.7729278,37.87440913,0
118.7714555,37.87557086,0
118.7884609,37.85410113,0
118.7714691,37.88088111,0
118.7786954,37.8637755,0
118.7860764,37.85604036,0
118.7785523,37.86822107,0
118.7746886,37.87390514,0
118.7891646,37.85219191,0
118.7848085,37.8590594,0
118.7812191,37.86571244,0
118.777876,37.87223553,0
118.7879087,37.85287761,0
118.7854288,37.8574555,0
118.7828974,37.86085401,0
118.7802122,37.86353412,0
118.7834274,37.8649268,0
118.7860737,37.8559323,0
118.76982,37.84806118,0
118.7756009,37.87119336,0
118.7834084,37.85942744,0
118.7679951,37.85156361,0
118.7882656,37.8544802,0
118.7819315,37.86509584,0
118.7818449,37.86244192,0
118.7779712,37.86863072,0
118.7847614,37.85899255,0
118.7862776,37.85590669,0
118.7834512,37.85931419,0
118.7829965,37.85203371,0
118.7826303,37.86063149,0
